municipio,departamento,pob_2012,pob_2024,diferencia,incremento_porcentual,proy_2022,dif_proy
Colquechaca,Potosí,35199,16163,-19036,-54.08,36106,-19943
Tomave,Potosí,14789,7811,-6978,-47.18,13255,-5444
Nueva Esperanza,Pando,2068,1390,-678,-32.79,1840,-450
Pazña,Oruro,5955,4220,-1735,-29.14,5412,-1192
Acasio,Potosí,6161,4434,-1727,-28.03,5618,-1184
Padilla,Chuquisaca,10383,7542,-2841,-27.36,10212,-2670
Mizque,Cochabamba,26900,19846,-7054,-26.22,28417,-8571
Azurduy,Chuquisaca,10652,7861,-2791,-26.20,11166,-3305
Puna,Potosí,21917,16350,-5567,-25.40,19930,-3580
Postrer Valle,Santa Cruz,2390,1796,-594,-24.85,2071,-275
Tipuani,La Paz,9985,7640,-2345,-23.49,8182,-542
Villa Alcalá,Chuquisaca,4902,3752,-1150,-23.46,2632,1120
Cruz de Machacamarca,Oruro,1967,1511,-456,-23.18,530,981
Tarabuco,Chuquisaca,16944,13251,-3693,-21.80,15342,-2091
Poroma,Chuquisaca,17377,13640,-3737,-21.51,15777,-2137
San Pedro,Santa Cruz,19103,15158,-3945,-20.65,17441,-2283
Villa Serrano,Chuquisaca,11161,8961,-2200,-19.71,10227,-1266
Ravelo,Potosí,20789,16728,-4061,-19.53,18362,-1634
Huanuni,Oruro,24677,20028,-4649,-18.84,25625,-5597
San Lucas,Chuquisaca,32520,26486,-6034,-18.55,31389,-4903
Saipina,Santa Cruz,7390,6057,-1333,-18.04,7310,-1253
Atocha,Potosí,11234,9364,-1870,-16.65,12849,-3485
El Puente,Tarija,11354,9504,-1850,-16.29,11786,-2282
Culpina,Chuquisaca,17731,14868,-2863,-16.15,17303,-2435
Okinawa Uno,Santa Cruz,12482,10508,-1974,-15.81,14001,-3493
Yamparáez,Chuquisaca,10111,8537,-1574,-15.57,8486,051
San Antonio de Esmoruco,Potosí,2284,1941,-343,-15.02,2188,-247
Reyes,Beni,13246,11274,-1972,-14.89,11811,-537
Tiraque,Cochabamba,21231,18190,-3041,-14.32,21201,-3011
Villa Charcas,Chuquisaca,16150,13924,-2226,-13.78,15592,-1668
Huacareta,Chuquisaca,8349,7201,-1148,-13.75,8244,-1043
Mojinete,Potosí,1180,1022,-158,-13.39,848,174
Yunchará,Tarija,5490,4763,-727,-13.24,5675,-912
Arampampa,Potosí,4170,3623,-547,-13.12,4746,-1123
Puerto Suarez,Santa Cruz,19829,17378,-2451,-12.36,23113,-5735
Villa deSacaca,Potosí,19611,17188,-2423,-12.36,20175,-2987
Papel Pampa,La Paz,7003,6222,-781,-11.15,6437,-215
Ocurí,Potosí,16118,14367,-1751,-10.86,15366,-999
Villa Nueva - Loma Alta,Pando,2801,2500,-301,-10.75,3177,-677
Ckochas,Potosí,15812,14301,-1511,-9.56,16121,-1820
Cotagaita,Potosí,31801,29070,-2731,-8.59,25826,3244
Independencia,Cochabamba,23658,21717,-1941,-8.20,22493,-776
Tahua,Potosí,1700,1561,-139,-8.18,1710,-149
Urubichá,Santa Cruz,7026,6528,-498,-7.09,8122,-1594
Bella Flor,Pando,3909,3632,-277,-7.09,4195,-563
San Pablo de Lipez,Potosí,3371,3136,-235,-6.97,3351,-215
S.P. De Buena Vista,Potosí,30012,27961,-2051,-6.83,30981,-3020
Chaquí,Potosí,9910,9262,-648,-6.54,8773,489
Santa Rosa,Santa Cruz,19217,17984,-1233,-6.42,10395,7589
Betanzos,Potosí,33922,31772,-2150,-6.34,32736,-964
Apolo,La Paz,20308,19047,-1261,-6.21,17423,1624
Alto Beni,La Paz,11194,10499,-695,-6.21,8837,1662
Combaya,La Paz,3731,3502,-229,-6.14,1618,1884
Malla,La Paz,5180,4866,-314,-6.06,3075,1791
Camargo,Chuquisaca,15644,14712,-932,-5.96,15522,-810
San Julián,Santa Cruz,47416,44635,-2781,-5.87,55136,-10501
Sopachuy,Chuquisaca,7312,6886,-426,-5.83,6067,819
Vacas,Cochabamba,8940,8425,-515,-5.76,8133,292
Pasorapa,Cochabamba,6853,6468,-385,-5.62,2782,3686
San Carlos,Santa Cruz,20093,18998,-1095,-5.45,24598,-5600
Entre Ríos,Tarija,21991,20846,-1145,-5.21,38381,-17535
Vitichi,Potosí,10646,10102,-544,-5.11,9151,951
Luribay,La Paz,11139,10581,-558,-5.01,10196,385
Padcaya,Tarija,18681,17783,-898,-4.81,19148,-1365
San Benito,Cochabamba,13562,12924,-638,-4.70,10733,2191
Cliza,Cochabamba,21899,20877,-1022,-4.67,22402,-1525
Vila Vila,Cochabamba,5459,5220,-239,-4.38,4459,761
Camiri,Santa Cruz,33838,32656,-1182,-3.49,42613,-9957
Puerto Pérez,La Paz,8157,7874,-283,-3.47,7670,204
Huari,Oruro,13897,13439,-458,-3.30,9899,3540
Fernández Alonso,Santa Cruz,15117,14625,-492,-3.25,14742,-117
Pucara,Santa Cruz,2076,2009,-067,-3.23,1747,262
Caripuyo,Potosí,8704,8427,-277,-3.18,9128,-701
Presto,Chuquisaca,12385,12023,-362,-2.92,10042,1981
Colcha K,Potosí,12997,12638,-359,-2.76,13288,-650
Guayaramerín,Beni,41814,40759,-1055,-2.52,51188,-10429
Macharetí,Chuquisaca,7418,7245,-173,-2.33,7137,108
Yotala,Chuquisaca,9461,9241,-220,-2.33,9081,160
Mineros,Santa Cruz,23251,22731,-520,-2.24,28483,-5752
San Antonio de Lomerío,Santa Cruz,6481,6346,-135,-2.08,7004,-658
Tacachi,Cochabamba,1303,1276,-027,-2.07,634,642
Cuevo,Santa Cruz,5052,4953,-099,-1.96,5022,-069
Santa Ana de Yacuma,Beni,18439,18102,-337,-1.83,18502,-400
Tomina,Chuquisaca,8494,8341,-153,-1.80,9006,-665
La Paz,La Paz,766468,755732,-10736,-1.40,956732,-201000
Toro Toro,Potosí,10870,10719,-151,-1.39,12484,-1765
Aiquile,Cochabamba,23267,23000,-267,-1.15,21190,1810
Capinota,Cochabamba,19477,19291,-186,-0.95,21252,-1961
San Joaquín,Beni,6917,6851,-066,-0.95,6069,782
Colpa Belgica,Santa Cruz,6069,6020,-049,-0.81,6947,-927
Chayanta,Potosí,16129,16008,-121,-0.75,16280,-272
Escara,Oruro,4223,4194,-029,-0.69,1375,2819
Tapacarí,Cochabamba,24625,24534,-091,-0.37,22769,1765
Vallegrande,Santa Cruz,17208,17172,-036,-0.21,18510,-1338
Caracollo,Oruro,23115,23068,-047,-0.20,21177,1891
Llica,Potosí,4150,4150,000,0.00,4133,017
Colomi,Cochabamba,19285,19318,033,0.17,21131,-1813
Huacaya,Chuquisaca,2541,2546,005,0.20,2498,048
Arque,Cochabamba,10597,10635,038,0.36,9987,648
Alalay,Cochabamba,3447,3461,014,0.41,2499,962
Totora,Cochabamba,14665,14766,101,0.69,15988,-1222
Monteagudo,Chuquisaca,24303,24487,184,0.76,25120,-633
Santos Mercado,Pando,2165,2184,019,0.88,2693,-509
Llallagua,Potosí,41104,41571,467,1.14,50922,-9351
Umala,La Paz,8903,9021,118,1.33,8585,436
Turco,Oruro,5207,5277,070,1.34,3287,1990
Chacarilla,La Paz,2004,2031,027,1.35,2218,-187
Moro Moro,Santa Cruz,2767,2811,044,1.59,2583,228
Tupiza,Potosí,44814,45531,717,1.60,51903,-6372
Anzaldo,Cochabamba,7192,7322,130,1.81,5182,2140
Caraparí,Tarija,15366,15650,284,1.85,16532,-882
Chuquihuta,Potosí,8019,8170,151,1.88,8287,-117
San Pedro Cuarahuara,La Paz,8858,9044,186,2.10,7245,1799
Toko,Cochabamba,7057,7208,151,2.14,5638,1570
Achacachi,La Paz,46058,47064,1006,2.18,35964,11100
San Ignacio,Beni,21114,21578,464,2.20,21188,390
Chulumani,La Paz,17823,18278,455,2.55,17501,777
Tacopaya,Cochabamba,10253,10549,296,2.89,7522,3027
Uncía,Potosí,22020,22673,653,2.97,23072,-399
Quirusillas,Santa Cruz,2995,3095,100,3.34,2158,937
Eucaliptus,Oruro,5267,5443,176,3.34,5100,343
El Alto,La Paz,848452,885035,36583,4.31,1109048,-224013
Cochabamba,Cochabamba,632013,661484,29471,4.66,856198,-194714
Pampa Grande,Santa Cruz,9198,9650,452,4.91,9889,-239
Humanata,La Paz,5342,5615,273,5.11,5929,-314
Villa Rivero,Cochabamba,8135,8551,416,5.11,7570,981
Caquiaviri,La Paz,14687,15464,777,5.29,10772,4692
Buena Vista,Santa Cruz,12879,13586,707,5.49,14929,-1343
Sicaya,Cochabamba,3740,3949,209,5.59,3895,054
Yacuiba,Tarija,92245,97577,5332,5.78,109481,-11904
San Matías,Santa Cruz,14470,15336,866,5.98,17929,-2593
Tinguipaya,Potosí,27200,28829,1629,5.99,23008,5821
Ayata,La Paz,8410,8957,547,6.50,8455,502
Caiza D,Potosí,12067,12891,824,6.83,10570,2321
Pampa Aullagas,Oruro,2973,3180,207,6.96,3007,173
Puerto Quijarro,Santa Cruz,16659,17826,1167,7.01,19328,-1502
Sica Sica,La Paz,31312,33546,2234,7.13,20598,12948
Bermejo,Tarija,34505,36967,2462,7.14,44062,-7095
Vinto,Cochabamba,51968,55773,3805,7.32,60239,-4466
Comarapa,Santa Cruz,15919,17132,1213,7.62,19982,-2850
Cocapata,Cochabamba,18076,19467,1391,7.70,17644,1823
Uriondo,Tarija,14781,15954,1173,7.94,16359,-405
Santiago de Huata,La Paz,8562,9258,696,8.13,7921,1337
San Pedro,Pando,2991,3239,248,8.29,1757,1482
Huayllamarca,Oruro,5502,5980,478,8.69,4835,1145
Huarina,La Paz,7948,8657,709,8.92,7532,1125
Palos Blancos,La Paz,24731,26995,2264,9.15,24074,2921
Callapa,La Paz,7289,7965,676,9.27,6610,1355
San Javier,Santa Cruz,13620,14897,1277,9.38,17600,-2703
Rurrenabaque,Beni,19195,21018,1823,9.50,21580,-562
Collana,La Paz,5042,5525,483,9.58,3900,1625
Patacamaya,La Paz,22858,25049,2191,9.59,22303,2746
San Ramón,Beni,4955,5441,486,9.81,9803,-4362
Villazón,Potosí,44906,49312,4406,9.81,47287,2025
Bolpebra,Pando,2173,2390,217,9.99,2574,-184
Baures,Beni,5965,6564,599,10.04,5365,1199
Lagunillas,Santa Cruz,5366,5910,544,10.14,6563,-653
Boyuibe,Santa Cruz,5087,5603,516,10.14,5324,279
Santa Cruz de la Sierra,Santa Cruz,1454539,1606671,152132,10.46,1903398,-296727
Cuatro Cañadas,Santa Cruz,22845,25260,2415,10.57,26256,-996
Guanay,La Paz,14788,16373,1585,10.72,13711,2662
Antequera,Oruro,3264,3614,350,10.72,3295,319
Trigal,Santa Cruz,2135,2367,232,10.87,1575,792
San Juan de Yapacani,Santa Cruz,9191,10206,1015,11.04,10152,054
Mojocoya,Chuquisaca,8068,8971,903,11.19,7805,1166
Tiahuanacu,La Paz,12189,13568,1379,11.31,9809,3759
Loreto,Beni,3828,4263,435,11.36,2926,1337
San Borja,Beni,40864,45562,4698,11.50,42262,3300
Zudañez,Chuquisaca,11362,12687,1325,11.66,7640,5047
El Torno,Santa Cruz,49652,55558,5906,11.89,71884,-16326
Magdalena,Beni,11377,12769,1392,12.24,12180,589
Oruro,Oruro,264943,297497,32554,12.29,351802,-54305
